南勢,南勢,Lâm-sì,lam5 si3,l am5 s i3,lam* si*,l am* s i*
銅鑼,銅鑼,Tâng-lô,tang5 lo5,t ang5 l o5,tang* lo*,t ang* l o*
三義,三義,Sam-gī,sam1 gi7,s am1 g i7,sam* gi*,s am* g i*
泰安,泰安,Thài-an,thai3 an1,th ai3 an1,thai* an*,th ai* an*
后里,后里,Āu-lí,au7 li2,au7 l i2,au* li*,au* l i*
豐原,豐原,Hong-guân,hong1 guan5,h ong1 g uan5,hong* guan*,h ong* g uan*
栗林,栗林,Li̍k-lîm,lik8 lim5,l ik8 l im5,lik* lim*,l ik* l im*
潭子,潭子,Thâm-tsú,tham5 tsu2,th am5 ts u2,tham* tsu*,th am* ts u*
頭家厝,頭家厝,Thâu-ke-tshù,thau5 ke1 tshu3,th au5 k e1 tsh u3,thau* ke* tshu*,th au* k e* tsh u*
松竹,松竹,Siông-tik,siong5 tik4,s iong5 t ik4,siong* tik*,s iong* t ik*
太原,太原,Thài-uân,thai3 uan5,th ai3 uan5,thai* uan*,th ai* uan*
精武,精武,Tsing-bú,tsing1 bu2,ts ing1 b u2,tsing* bu*,ts ing* b u*
臺中,臺中,Tâi-tiong,tai5 tiong1,t ai5 t iong1,tai* tiong*,t ai* t iong*
五權,五權,ngóo-kuân,ngoo2 kuan5,ng oo2 k uan5,ngoo* kuan*,ng oo* k uan*
大慶,大慶,Tāi-khìng,tai7 khing3,t ai7 kh ing3,tai* khing*,t ai* kh ing*
烏日,烏日,Oo-ji̍t,oo1 jit8,oo1 j it8,oo* jit*,oo* j it*
新烏日,新烏日,Sin-Oo-ji̍t,sin1 oo1 jit8,s in1 oo1 j it8,sin* oo* jit*,s in* oo* j it*
成功,成功,Sîng-kong,sing5 kong1,s ing5 k ong1,sing* kong*,s ing* k ong*
彰化,彰化,Tsiong-huà,tsiong1 hua3,ts iong1 h ua3,tsiong* hua*,ts iong* h ua*
花壇,花壇,Hue-tuânn,hue1 tuann5,h ue1 t uann5,hue* tuann*,h ue* t uann*
大村,大庄,Tuā-tsng,tua7 tsng1,t ua7 ts ng1,tua* tsng*,t ua* ts ng*
員林,員林,Uân-lîm,uan5 lim5,uan5 l im5,uan* lim*,uan* l im*
永靖,永靖,Íng-tsīng,ing2 tsing7,ing2 ts ing7,ing* tsing*,ing* ts ing*
社頭,社頭,Siā-thâu,sia7 thau5,s ia7 th au5,sia* thau*,s ia* th au*
田中,田中,Tiân-tiong,tian5 tiong1,t ian5 t iong1,tian* tiong*,t ian* t iong*
二水,二水,Jī-tsuí,ji7 tsui2,j i7 ts ui2,ji* tsui*,j i* ts ui*
林內,林內,Nâ-lāi,na5 lai7,n a5 l ai7,na* lai*,n a* l ai*
石榴,石榴,Tsio̍h-liû,tsioh8 liu5,ts ioh8 l iu5,tsioh* liu*,ts ioh* l iu*
斗六,斗六,Táu-la̍k,tau2 lak8,t au2 l ak8,tau* lak*,t au* l ak*
斗南,斗南,Táu-lâm,tau2 lam5,t au2 l am5,tau* lam*,t au* l am*
石龜,石龜,Tsio̍h-ku,tsioh8 ku1,ts ioh8 k u1,tsioh* ku*,ts ioh* k u*
大林,大林,Tuā-nâ,tua7 na5,t ua7 n a5,tua* na*,t ua* n a*
民雄,民雄,Bîn-hiông,bin5 hiong5,b in5 h iong5,bin* hiong*,b in* h iong*
嘉北,嘉北,Ka-pak,ka1 pak4,k a1 p ak4,ka* pak*,k a* p ak*
嘉義,嘉義,Ka-gī,ka1 gi7,k a1 g i7,ka* gi*,k a* g i*
水上,水上,Tsuí-siōng,tsui2 siong7,ts ui2 s iong7,tsui* siong*,ts ui* s iong*
南靖,南靖,Lâm-tsīng,lam5 tsing7,l am5 ts ing7,lam* tsing*,l am* ts ing*
後壁,後壁,Āu-piah,au7 piah4,au7 p iah4,au* piah*,au* p iah*
新營,新營,Sin-iânn,sin1 iann5,s in1 iann5,sin* iann*,s in* iann*
柳營,柳營,Liú-iânn,liu2 iann5,l iu2 iann5,liu* iann*,l iu* iann*
林鳳營,林鳳營,Lîm-hōng-iânn,lim5 hong7 iann5,l im5 h ong7 iann5,lim* hong* iann*,l im* h ong* iann*
隆田,隆田,Liông-tiân,liong5 tian5,l iong5 t ian5,liong* tian*,l iong* t ian*
拔林,拔林,Pa̍t-á-nâ,pat8 a2 na5,p at8 a2 n a5,pat* a* na*,p at* a* n a*
善化,善化,Siān-huà,sian7 hua3,s ian7 h ua3,sian* hua*,s ian* h ua*
南科,南科,Lâm-kho,lam5 kho1,l am5 kh o1,lam* kho*,l am* kh o*
新市,新市,Sin-tshī,sin1 tshi7,s in1 tsh i7,sin* tshi*,s in* tsh i*
永康,永康,Íng-khong,ing2 khong1,ing2 kh ong1,ing* khong*,ing* kh ong*
大橋,大橋,Tuā-kiô,tua7 kio5,t ua7 k io5,tua* kio*,t ua* k io*
臺南,臺南,Tâi-lâm,tai5 lam5,t ai5 l am5,tai* lam*,t ai* l am*
保安,保安,Pó-an,po2 an1,p o2 an1,po* an*,p o* an*
仁德,仁德,jîn-tik,jin5 tik4,j in5 t ik4,jin* tik*,j in* t ik*
