四十八,四十八,si2 tsap4 peh2,si2 tsap4 peh2,s i2 ts ap4 p eh2,si* tsap* peh*,s i* ts ap* p eh*,48
四十九,四十九,si2 tsap4 kau2,si2 tsap4 kau2,s i2 ts ap4 k au2,si* tsap* kau*,s i* ts ap* k au*,49
五十,五十,goo3 tsap4 ,goo3 tsap4,g oo3 ts ap4,goo* tsap*,g oo* ts ap*,50
五十一,五十一,goo3 tsap4 i1,goo3 tsap4 i1,g oo3 ts ap4 i1,goo* tsap* i*,g oo* ts ap* i*,51
五十二,五十二,goo3 tsap4 ji7,goo3 tsap4 ji7,g oo3 ts ap4 j i7,goo* tsap* ji*,g oo* ts ap* j i*,52
五十三,五十三,goo3 tsap4 sann7,goo3 tsap4 sann7,g oo3 ts ap4 s ann7,goo* tsap* sann*,g oo* ts ap* s ann*,53
五十四,五十四,goo3 tsap4 si2,goo3 tsap4 si2,g oo3 ts ap4 s i2,goo* tsap* si*,g oo* ts ap* s i*,54
五十五,五十五,goo3 tsap4 goo3,goo3 tsap4 goo3,g oo3 ts ap4 g oo3,goo* tsap* goo*,g oo* ts ap* g oo*,55
五十六,五十六,goo3 tsap4 lak4,goo3 tsap4 lak4,g oo3 ts ap4 l ak4,goo* tsap* lak*,g oo* ts ap* l ak*,56
五十七,五十七,goo3 tsap4 tshit8,goo3 tsap4 tshit8,g oo3 ts ap4 tsh it8,goo* tsap* tshit*,g oo* ts ap* tsh it*,57
五十八,五十八,goo3 tsap4 peh2,goo3 tsap4 peh2,g oo3 ts ap4 p eh2,goo* tsap* peh*,g oo* ts ap* p eh*,58
五十九,五十九,goo3 tsap4 kau2,goo3 tsap4 kau2,g oo3 ts ap4 k au2,goo* tsap* kau*,g oo* ts ap* k au*,59
六十,六十,lak4 tsap4 ,lak4 tsap4,l ak4 ts ap4,lak* tsap*,l ak* ts ap*,60
